Text;Label
PancasilaJiwaku Huaaaaaaahhaaa..\nCuman PINTER ngomong. SUMUR RESAPAN AJA NGGA ERUH ILMUNYA...MAU JADI KONSULTAN BANGUN IKN ....\nIMPOSIBELLLEELLL...\nTANGEH LAMUN...\n\n#ORAWARAS https://t.co/vmWS7zULV6';Negatif
 rubuh iya tuh bangunan, \nformula e pakai bambuuu\nnanti ikn pakai triplek';Negatif
KEMARIN MENOLAK PEMINDAHAN IKN,SEKARANG KOK MODUS __\n@PKSejahtera;Negatif
@__Sridiana_3va Sabar,Rakyat dilarang ngeluh lapar, gk boleh ngeluh bpjs,bbm,listrik naik,bikin peraturan A besok B,,minyak lenyap sengaja ngalihin isyu UU IKN,UU Cipta kerja,ada yg bersuara Untuk rakyat, Buzzer2 n manusia gila jabatan diarahkan semua bua;Negatif
Apa, swasembada kedelai  ? Krisis minyak goreng saja blm bisa nyelesaiin kok. Fokusnya ngebangun IKN baru  \xf0\x9f\x98\x82\xf0\x9f\x98\x82';Negatif
@jansen_jsp Semua tergantung anggota dpr.. klo anggota dpr dibuat tidur krn kekenyangan ya kelar udah .. \nUu ciptaker selesai sudah di dpr\nIKN baru selesai juga d dpr\nIni jg bakal selesai d dpr.. \nRakyat? Cari untung masing2 saja;Negatif
@OiaaDunya @martha65__ @YLBHI @jokowi mega proyek IKN kan menggelontor kan dana yg cukup besar tu. \nsampe sampe masayarakat yg kesusahan minyak aja gk di cari solusinya. \nsampe ada wacana jht bisa cair 56 tahun. jht kan uang para pekerja apa urusan mere;Negatif
@herlan_tri Formula E pake bambu, nanti ikn pake gdebok pisang..;Negatif
@Mdy_Asmara1701 Takut IKN kena karma hambalang;Negatif
Relawan Jokowi Sebut Penolak Pemindahan IKN Ahistoris\nhttps://t.co/8TBfICfLV9;Negatif
"'Insyaa Allah!!! ikn yg cuma ambisi &amp; nafsu pribadi jokowi akan bernasib sama dgn Reklamasi pantai jakarta yg dibataljan oleh bang anies!!! https://t.co/NPFkqgDAP8";Negatif
@yosnggarang @didienAZHAR Yg di pikir cuma IKN dan jalan tol;Negatif
@BabyPeraya @yusuffi182 @pandji Udah tau ekonomi lagi berat kenapa malah membangun ikn yang membutuhkan biaya 3x lipat dari biaya awal 500 trilliun jadi 1500 trilliun.;Negatif
ikn adalah lumbung uangg huahuahha bagi mereka yg punya modal, dan untuk para pemain #luhutmafia;Negatif
@Yusrilihza_Mhd Sebagai rakyat jelata kita mikirnya tidak sampai kesitu pak. Pemilu ditunda alasan dana dan waktu yg tidak tepat. IKN jalan terus sedangkan saya dengar dananya gaib. Saya jadi ingin pensiun jadi rakyat jelata pak..  ingin jadi presiden jug;Negatif
@zarazettirazr @tijabar Penundaan pemilu kekhawatiran cukong IKN gak terlaksana;Negatif
"Kepentingan oligarki &amp;negara China komunis sangat kentara di IKN ini. https://t.co/uYQmt1rlb2";Negatif
@geloraco pekaes menolak ikn tapi usul \xf0\x9f\x98\x82;Negatif
@Mdy_Asmara1701 Proyek IKN akan bernasib sama;Negatif
Selama pemimpin di Indonesia masih amnesia, maka pemindahan Ibukota negara (IKN) pun wajib dipertanyakan;Negatif
@PresidenKopi Usualan itu bebas...\nUsul KPK percepat tangani laporan korupsi\nUsul batalkan IKN\nUsul usut proyek kereta cepat Bdg-Jkt\nUsul suruh mereka bayar utang negara\nUsul sblm negara bangkrut periksa semua proyek..\nHeheheheee....khan usulan aja.;Negatif
@ImamSantoso01 Bingung kali...\n\nLobby utangan baru buat proyek IKN. Padahal APBN tahunan sudah jelas minus;Negatif
Harusnya IKN yg ditunda jika tidak mau dituduh rakus dan di dikte oligarki kan ?!? https://t.co/uWwN9AhLvL;Negatif
@OposisiCerdas Gimana sih mencla mencle...katanya nolak ikn tapi ngajukan org lqin jd konsultan...;Negatif
La Nyalla Sindir Pemilu Ditunda karena Sulit Anggaran: IKN Saja Jalan Terus!\nhttps://t.co/WEqWTgQBsb;Negatif
Napsu banget pak de ! Istana belum jadi udah Lantik orangnya Jokowi Lantik Kepala Otorita IKN Pekan Ini? https://t.co/wVe5vKb3Ts;Negatif
@geloraco Makin Hancur kalau Anis terlibat di pembangunan ikn. PKS kan gak setuju ibu kota pindah. Kenapa ikut campur urusan pembangunan ikn.;Negatif
Dalam hal keuangan negara yg tidak cukup, negara harus menunda pembangunan proyek strategis nasional seperti IKN, daripada menunda Pemilu. Pemilu itu perintah Konstitusi, kehendak rakyat, sedangkan proyek IKN bukan hal mendesak.;Negatif
penolakan terhadap pemindahan ibu kota negara hanyalah sebagian kecil yang selama ini juga berseberangan dengan pemerintah sekaligus orang orang yang kecewa terhadap hasil pilpres 2019 lalu patuhi disiplin prokes;Negatif
jangan percaya kaum menyesatkan ibu kota negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru indonesia patuhi disiplin prokes;Negatif
kemarin presiden joko widodo jokowi menerima kunjungan delegasi uni emirat arab uea di istana bogor pemerintah uea menyatakan siap untuk berinvestasi dalam pembangunan ibu kota negara baru ikn drun gimana drun isu aseng;Negatif
the great 4 hutang negara makin parah gt gt iya bener tp krn faktor covid 5 minyak goreng gula sembako makin susah gt gt minyak goreng aja yg makin susah yg lain masih normal ga usah nambah2in 6 ibu kota baru bakal mangkrak jg paling gt gt let we see;Negatif
berat kalau di lanjut nasib ibu kota baru bergantung peta politik;Negatif
siapa sangka anak kecil ini saat udah gede bisa bikin rusak ibu kota sebuah negara apelo;Negatif
the great kereta api cepat mangkrak kartu sembako jokowi mangkrak jg bus transjakarta oren jaman jokowi ahok dki mangkrak hutang negara makin parah minyak goreng gula sembako makin susah ibu kota baru bakal mangkrak jg paling;Negatif
kontras anak amp cucu siapa yang diuntungkan dari pemindahan ibu kota negara;Negatif
003 ya yang jelasnya ini di ibu kota negara semoga ini bukan awal kehancuran negeri ini;Negatif
id loh jgn kaget bro pemerintahan jokowi asal bikin anggaran urus minyak goreng dan tahu tempe aja ribet kok mau pindah ibu kota ini makin menunjukkan rezim jokowi tdk becussssss kelola negara;Negatif
beban negara di 2024 nanti banyak sekali pemilu serentak pilkada serentak pemindahan ibu kota yaa gimana yaaaaa;Negatif
ibu kota negara dananya bukan dari china tpi dari arab lht para kadroen;Negatif
recehan sekelas ibu kota negara proyek nya sangat amatiran team dari formula e pun tidak ada yg melakukan supervisi pembangunan sirkuit nya gubernur amatiran planning amatiran eksekusi amatiran hasil nya bijimana shameonyou;Negatif
